"Accession","Coefficient_crp","P_Value_crp","R_Squared_crp","Q_Value_crp","Coefficient_uvascore","P_Value_uvascore","R_Squared_uvascore","Q_Value_uvascore","Coefficient_wbc","P_Value_wbc","R_Squared_wbc","Q_Value_wbc"
"THOP1_HUMAN",-21.7909449559145,0.461754804188157,0.0175990926703682,0.646972978594227,-1.42416991219913,0.00377198721787132,0.233741861455427,0.0377584642219381,-0.276736229693317,0.81724431831828,0.00174914473115646,0.956983070082506
"THRB_HUMAN",-8.52442864760155,0.851592525268656,0.00114677608259291,0.903322750131836,-0.0094194414443987,0.990905805739263,4.12383243454476e-06,0.994735393394294,-2.94281856845636,0.101351613258824,0.0842229789125608,0.452038255296894
"THTM_HUMAN",-24.545510808988,0.603371529359464,0.00881018154379223,0.7472026448206,-1.43362842091434,0.0892684224289691,0.0875705917229784,0.216723105538462,1.40252945738682,0.46012493759483,0.0177263878619363,0.846008560063993
"TIMD4_HUMAN",44.3449847531946,0.0479993077417936,0.120285120646696,0.199086949076741,0.530039422124088,0.203097339697221,0.0501178346931803,0.355848458592601,-1.44481142541457,0.113828704475863,0.0786865997843186,0.481461542797459
"TIMP1_HUMAN",65.4661356850978,6.84893781572828e-05,0.405066233443609,0.00711604639054168,1.24893337914625,2.46340597623112e-05,0.4312723202102,0.00559172769724577,0.189345559335776,0.800643629082693,0.00208813432990982,0.952536477723515
"TIPRL_HUMAN",-113.236270421136,0.0539736190769924,0.114602000699875,0.209068661125175,-2.57380619530942,0.0120720706245949,0.181211985659958,0.069876776484424,-0.369352095549027,0.879642611388924,0.000751376791432571,0.977871003860919
"TITIN_HUMAN",23.4643155034618,0.541349592345455,0.0121546382618151,0.704398530302978,0.178116606872534,0.79918014365302,0.00205234364538355,0.869929983504964,-0.0865905007864282,0.955514731455494,0.00010200520140189,0.987840602967421
"TKFC_HUMAN",-138.151630010489,0.0176156015617874,0.168604196670376,0.122425485101653,-2.05315908868623,0.0497851491462483,0.114980170921439,0.15376261944993,-1.65063495617569,0.499569913482164,0.0148324873173557,0.87394482156363
"TKT_HUMAN",-140.055699668988,0.0934212675941489,0.0881244126026762,0.266673424317911,-2.05177524134851,0.174390830546295,0.0568715444915359,0.322980522170411,1.52067420508257,0.658034572361538,0.00640210178449436,0.930030254354017
"TLN1_HUMAN",-59.0516135190267,0.0918360722362238,0.088945357266903,0.265397946406546,-0.757920489571789,0.234895721703662,0.0437963382638953,0.388316077724907,2.01042701307334,0.157043821829249,0.0635319118169533,0.5609795970366
